mesh,p_value,r,preconditioner,elapsed_time,iterations,symmetric,n,cond_number,overlap,sweeps,omega,cycles
mesh-cube-40,4,1,identity,5448,4499,cube,1,4.73434e+06,10,1,1,2
mesh-cube-40,4,1,identity,2747,4479,cube,2,4.73434e+06,10,1,1,2
mesh-cube-40,4,1,identity,1492,4432,cube,4,4.73434e+06,10,1,1,2
mesh-cube-40,4,1,identity,959,4426,cube,8,4.73434e+06,10,1,1,2
mesh-cube-40,4,1,identity,781,4453,cube,16,4.73434e+06,10,1,1,2
mesh-cube-40,4,1,identity,781,4451,cube,20,4.73434e+06,10,1,1,2
mesh-cube-40,4,1,jacobi,469,391,cube,1,132340,10,1,1,2
mesh-cube-40,4,1,jacobi,236,394,cube,2,132340,10,1,1,2
mesh-cube-40,4,1,jacobi,127,393,cube,4,132340,10,1,1,2
mesh-cube-40,4,1,jacobi,106,392,cube,8,132340,10,1,1,2
mesh-cube-40,4,1,jacobi,90,387,cube,16,132340,10,1,1,2
mesh-cube-40,4,1,jacobi,82,389,cube,20,132340,10,1,1,2
mesh-cube-40,4,1,amg,302,31,cube,1,7.61504,10,1,1,2
mesh-cube-40,4,1,amg,179,39,cube,2,18.7444,10,1,1,2
mesh-cube-40,4,1,amg,79,27,cube,4,21.7559,10,1,1,2
mesh-cube-40,4,1,amg,53,29,cube,8,27.9525,10,1,1,2
mesh-cube-40,4,1,amg,104,63,cube,16,34.1,10,1,1,2
mesh-cube-40,4,1,amg,96,55,cube,20,283.843,10,1,1,2
mesh-cube-40,4,1,ssor,4577,1010,cube,1,66.7675,10,1,1,2
mesh-cube-40,4,1,ssor,16409,1736,cube,2,31055.7,10,1,1,2
mesh-cube-40,4,1,ssor,14461,1877,cube,4,34909,10,1,1,2
mesh-cube-40,4,1,ssor,15193,2291,cube,8,7342.01,10,1,1,2
